county,density
Adair County,13.5
Adams County,9.5
Allamakee County,22.4
Appanoose County,25.9
Audubon County,13.8
Benton County,36.4
Black Hawk County,231.7
Boone County,46
Bremer County,55.7
Buchanan County,36.7
Buena Vista County,35.2
Butler County,25.6
Calhoun County,17
Carroll County,36.6
Cass County,24.7
Cedar County,31.9
Cerro Gordo County,77.7
Cherokee County,20.9
Chickasaw County,24.7
Clarke County,21.5
Clay County,29.4
Clayton County,23.3
Clinton County,70.7
Crawford County,23.9
Dallas County,112.4
Davis County,17.4
Decatur County,15.9
Delaware County,30.7
Des Moines County,96.9
Dickinson County,43.8
Dubuque County,154
Emmet County,26
Fayette County,28.6
Floyd County,32.6
Franklin County,18.4
Fremont County,14.6
Greene County,16.4
Grundy County,24.8
Guthrie County,18.5
Hamilton County,27.2
Hancock County,19.9
Hardin County,30.8
Harrison County,21.4
Henry County,46.4
Howard County,20.2
Humboldt County,22.6
Ida County,16.4
Iowa County,27.9
Jackson County,31.2
Jasper County,50.4
Jefferson County,38.7
Johnson County,213.1
Jones County,35.9
Keokuk County,18.1
Kossuth County,16
Lee County,69.3
Linn County,294.6
Louisa County,28.3
Lucas County,20.7
Lyon County,19.7
Madison County,27.9
Mahaska County,39.2
Marion County,60.1
Marshall County,71
Mills County,34.4
Mitchell County,23
Monona County,13.3
Monroe County,18.4
Montgomery County,25.3
Muscatine County,97.7
O'Brien County,25.1
Osceola County,16.2
Page County,29.8
Palo Alto County,16.7
Plymouth County,29
Pocahontas County,12.7
Polk County,750.5
Pottawattamie County,98
Poweshiek County,32.3
Ringgold County,9.6
Sac County,18
Scott County,360.7
Shelby County,20.6
Sioux County,43.9
Story County,156.3
Tama County,24.6
Taylor County,11.9
Union County,29.6
Van Buren County,15.6
Wapello County,82.5
Warren County,81.1
Washington County,38.2
Wayne County,12.2
Webster County,53.1
Winnebago County,27.1
Winneshiek County,30.5
Woodbury County,117.1
Worth County,19
Wright County,22.8